id	STATS_ns	ML_ns	since_abi	pybind	flag
aom_pop.aom_chain_fixed_fit	optimization.aom	compose.aom_search	1.18.0	Y	
aom_pop.aom_chain_ridge_pls	optimization.aom	compose.aom_superblock	1.21.0	Y	
aom_pop.aom_chain_screen_refit	optimization.aom	compose.aom_campaign	1.18.0	Y	
aom_pop.aom_chain_sweep	optimization.aom	compose.aom_search	1.16.0	Y	
aom_pop.aom_pls	optimization.aom	compose.aom_search	1.0.0	Y	
aom_pop.aom_pls_superblock	optimization.aom	compose.aom_superblock	1.21.0	Y	
aom_pop.aom_preprocessing	optimization.aom	compose.aom_search	1.0.0	Y	
aom_pop.aom_ridge_pls_superblock	optimization.aom	compose.aom_superblock	1.21.0	Y	
aom_pop.aom_staged_chain_campaign	optimization.aom	compose.aom_campaign	1.21.0	Y	
aom_pop.aom_sweep	optimization.aom	compose.aom_search	1.16.0	Y	
aom_pop.operator_pls_stack	optimization.aom	compose.aom_superblock	1.18.0	Y	
aom_pop.pop_pls	optimization.aom	compose.aom_search	1.0.0	Y	
aom_pop.ridge_active_superblock	optimization.aom	compose.aom_superblock	1.21.0	Y	
aom_pop.ridge_blender	optimization.aom	compose.aom_superblock	1.17.0	Y	
aom_pop.ridge_global	optimization.aom	compose.aom_search	1.21.0	Y	
aom_pop.ridge_mkl_superblock	optimization.aom	compose.aom_superblock	1.21.0	Y	
aom_pop.ridge_superblock	optimization.aom	compose.aom_superblock	1.21.0	Y	
aom_pop.robust_hpo	optimization.aom	compose.aom_search	1.12.0	Y	
augmentation.drift.linear_drift	simulation.baseline_drift	augmentation.drift	1.0.0	-	
augmentation.drift.path_length	simulation.baseline_drift	augmentation.drift	1.0.0	-	
augmentation.drift.poly_drift	simulation.baseline_drift	augmentation.drift	1.0.0	-	
augmentation.edge_artifacts.detector_rolloff	simulation.instrument	augmentation.instrument	1.0.0	-	
augmentation.edge_artifacts.edge_artifacts	simulation.instrument	augmentation.instrument	1.0.0	-	
augmentation.edge_artifacts.edge_curvature	simulation.instrument	augmentation.instrument	1.0.0	-	
augmentation.edge_artifacts.stray_light	simulation.instrument	augmentation.instrument	1.0.0	-	
augmentation.edge_artifacts.truncated_peak	simulation.instrument	augmentation.instrument	1.0.0	-	
augmentation.environmental.moisture	simulation.instrument	augmentation.instrument	1.0.0	-	
augmentation.environmental.temperature	simulation.instrument	augmentation.instrument	1.0.0	-	
augmentation.mixup.local_mixup	simulation.mixing	augmentation.mixup	1.0.0	-	
augmentation.mixup.mixup	simulation.mixing	augmentation.mixup	1.0.0	-	
augmentation.noise.gaussian_noise	simulation.noise	augmentation.noise	1.0.0	-	
augmentation.noise.hetero_noise	simulation.noise	augmentation.noise	1.0.0	-	
augmentation.noise.multiplicative_noise	simulation.noise	augmentation.noise	1.0.0	-	
augmentation.noise.spike_noise	simulation.noise	augmentation.noise	1.0.0	-	
augmentation.random.random_x_op	simulation.mixing	augmentation.mixup	1.0.0	-	
augmentation.random.rotate_translate	simulation.mixing	augmentation.mixup	1.0.0	-	
augmentation.scattering.batch_effect	simulation.scatter	augmentation.scattering	1.0.0	-	
augmentation.scattering.dead_band	simulation.scatter	augmentation.scattering	1.0.0	-	
augmentation.scattering.emsc_distort	simulation.scatter	augmentation.scattering	1.0.0	-	
augmentation.scattering.instrument_broaden	simulation.scatter	augmentation.scattering	1.0.0	-	
augmentation.scattering.particle_size	simulation.scatter	augmentation.scattering	1.0.0	-	
augmentation.scattering.scatter_sim_msc	simulation.scatter	augmentation.scattering	1.0.0	-	
augmentation.spectral.band_mask	simulation.intensity	augmentation.spectral	1.0.0	-	
augmentation.spectral.band_perturb	simulation.intensity	augmentation.spectral	1.0.0	-	
augmentation.spectral.channel_dropout	simulation.intensity	augmentation.spectral	1.0.0	-	
augmentation.spectral.gauss_jitter	simulation.intensity	augmentation.spectral	1.0.0	-	
augmentation.spectral.local_clip	simulation.intensity	augmentation.spectral	1.0.0	-	
augmentation.spectral.magnitude_warp	simulation.intensity	augmentation.spectral	1.0.0	-	
augmentation.spectral.unsharp_mask	simulation.intensity	augmentation.spectral	1.0.0	-	
augmentation.splines.spline_curve_simplification	simulation.intensity	augmentation.splines	1.0.0	-	
augmentation.splines.spline_smoothing	simulation.intensity	augmentation.splines	1.0.0	-	
augmentation.splines.spline_x_perturbations	simulation.intensity	augmentation.splines	1.0.0	-	
augmentation.splines.spline_x_simplification	simulation.intensity	augmentation.splines	1.0.0	-	
augmentation.splines.spline_y_perturbations	simulation.intensity	augmentation.splines	1.0.0	-	
augmentation.wavelength.local_warp	simulation.wavelength	augmentation.wavelength	1.0.0	-	
augmentation.wavelength.wavelength_shift	simulation.wavelength	augmentation.wavelength	1.0.0	-	
augmentation.wavelength.wavelength_stretch	simulation.wavelength	augmentation.wavelength	1.0.0	-	
diagnostics.approximate_press	validation	metrics.scoring	1.0.0	-	
diagnostics.model_selection	validation	metrics.scoring	1.0.0	-	
diagnostics.pls_diagnostics	validation	metrics.diagnostics	1.0.0	-	
diagnostics.pls_monitoring	validation	metrics.diagnostics	1.0.0	-	
diagnostics.regression_metrics	validation	metrics.scoring	1.0.0	-	
filters.composite	outliers	outlier_detection	1.0.0	-	
filters.correlation	outliers	feature_selection.filter	1.0.0	-	filter-method feature selection (also an outlier/quality lineage)
filters.high_leverage	outliers	outlier_detection	1.0.0	-	
filters.spectral_quality	outliers	outlier_detection	1.0.0	-	
filters.variance	outliers	feature_selection.filter	1.0.0	-	filter-method feature selection
filters.x_outlier	outliers	outlier_detection	1.0.0	-	
filters.y_outlier	outliers	outlier_detection	1.0.0	-	
models.classification.pls_lda	discriminant	estimators.classification	1.0.0	-	
models.classification.pls_logistic	discriminant	estimators.classification	1.0.0	-	binary classifier via logistic head; could sit under GLM
models.classification.pls_qda	discriminant	estimators.classification	1.0.0	-	
models.ensembles.bagging_pls	regression.ensemble	ensemble	1.0.0	-	
models.ensembles.boosting_pls	regression.ensemble	ensemble	1.0.0	-	
models.ensembles.moment_stack	regression.ensemble	ensemble	1.21.0	Y	0-symbol Python-only stack (status: emerging)
models.ensembles.random_subspace_pls	regression.ensemble	ensemble	1.0.0	-	
models.heads.pls_cox	regression.glm_survival	estimators.glm_survival	1.0.0	-	survival head, not standard regression/classification
models.heads.pls_glm	regression.glm_survival	estimators.glm_survival	1.0.0	-	GLM head spans regression+classification
models.local.lw_pls	regression.latent	estimators.local	1.0.0	-	
models.multiblock.mb_pls	multiblock	estimators.multiblock	1.0.0	-	
models.multiblock.mir_pls	multiblock	estimators.multiblock	1.0.0	-	
models.multiblock.o2pls	multiblock	estimators.multiblock	1.0.0	-	
models.multiblock.on_pls	multiblock	estimators.multiblock	1.0.0	-	
models.multiblock.rosa	multiblock	estimators.multiblock	1.0.0	-	
models.multiblock.so_pls	multiblock	estimators.multiblock	1.0.0	-	
models.pls.cppls	regression.latent	estimators.regression.linear	1.0.0	Y	
models.pls.kernel	regression.latent	estimators.regression.linear	1.0.0	-	
models.pls.pcr	regression.latent	estimators.regression.linear	1.21.0	Y	
models.pls.pls_fit_simple	regression.latent	estimators.regression.linear	1.0.0	Y	
models.regularized.continuum_regression	regression.latent	estimators.regression.linear	1.0.0	Y	
models.regularized.ridge	regression.penalized	estimators.regression.linear	1.16.0	Y	
models.regularized.ridge_pls	regression.latent	estimators.regression.linear	1.0.0	Y	
models.regularized.robust_pls	regression.penalized	estimators.regression.linear	1.0.0	Y	
models.regularized.weighted_pls	regression.penalized	estimators.regression.linear	1.0.0	Y	
models.sparse.fused_sparse_pls	regression.sparse	estimators.regression.sparse	1.0.0	-	
models.sparse.group_sparse_pls	regression.sparse	estimators.regression.sparse	1.0.0	-	
models.sparse.sparse_pls_da	discriminant	estimators.classification	1.0.0	-	DA: regression-or-classification (placed in discriminant/classification)
models.sparse.sparse_simpls	regression.sparse	estimators.regression.sparse	1.0.0	-	
models.specialized.ecr	regression.latent	estimators.regression.linear	1.0.0	Y	
models.specialized.gpr_pls	regression.latent	estimators.regression.linear	1.0.0	-	
models.specialized.missing_aware_nipals	regression.latent	estimators.regression.linear	1.0.0	-	
models.specialized.recursive	regression.latent	estimators.regression.linear	1.0.0	-	
models.specialized.tensor_pls	regression.latent	estimators.regression.linear	1.0.0	-	
models.transfer.di_pls	transfer	domain_adaptation	1.0.0	-	domain-invariant PLS: estimator AND transfer
models.transfer.ds	transfer	domain_adaptation	1.0.0	-	
models.transfer.pds	transfer	domain_adaptation	1.0.0	-	
preprocessing.alignment.cow_align	preprocessing.alignment	transform.alignment	1.0.0	-	
