catalog_id	namespace	leaf	fq_name	abi_symbol
augmentation.drift.linear_drift	augmentation.drift	linear_drift	n4m.augmentation.drift.linear_drift	n4m_aug_linear_drift_apply
augmentation.drift.path_length	augmentation.drift	path_length	n4m.augmentation.drift.path_length	n4m_aug_path_length_apply
augmentation.drift.poly_drift	augmentation.drift	poly_drift	n4m.augmentation.drift.poly_drift	n4m_aug_poly_drift_apply
augmentation.edge_artifacts.detector_rolloff	augmentation.instrument	detector_rolloff	n4m.augmentation.instrument.detector_rolloff	n4m_aug_detector_rolloff_apply
augmentation.edge_artifacts.edge_artifacts	augmentation.instrument	edge_artifacts	n4m.augmentation.instrument.edge_artifacts	n4m_aug_edge_artifacts_apply
augmentation.edge_artifacts.edge_curvature	augmentation.instrument	edge_curvature	n4m.augmentation.instrument.edge_curvature	n4m_aug_edge_curve_apply
augmentation.environmental.moisture	augmentation.instrument	moisture	n4m.augmentation.instrument.moisture	n4m_aug_moisture_apply
augmentation.edge_artifacts.stray_light	augmentation.instrument	stray_light	n4m.augmentation.instrument.stray_light	n4m_aug_stray_light_apply
augmentation.environmental.temperature	augmentation.instrument	temperature	n4m.augmentation.instrument.temperature	n4m_aug_temperature_apply
augmentation.edge_artifacts.truncated_peak	augmentation.instrument	truncated_peak	n4m.augmentation.instrument.truncated_peak	n4m_aug_truncated_peak_apply
augmentation.mixup.local_mixup	augmentation.mixup	local_mixup	n4m.augmentation.mixup.local_mixup	n4m_aug_local_mixup_apply
augmentation.mixup.mixup	augmentation.mixup	mixup	n4m.augmentation.mixup.mixup	n4m_aug_mixup_apply
augmentation.random.random_x_op	augmentation.mixup	random_x_op	n4m.augmentation.mixup.random_x_op	n4m_aug_random_x_op_apply
augmentation.random.rotate_translate	augmentation.mixup	rotate_translate	n4m.augmentation.mixup.rotate_translate	n4m_aug_rotate_translate_apply
augmentation.noise.gaussian_noise	augmentation.noise	gaussian_noise	n4m.augmentation.noise.gaussian_noise	n4m_aug_gaussian_noise_apply
augmentation.noise.hetero_noise	augmentation.noise	hetero_noise	n4m.augmentation.noise.hetero_noise	n4m_aug_hetero_noise_apply
augmentation.noise.multiplicative_noise	augmentation.noise	multiplicative_noise	n4m.augmentation.noise.multiplicative_noise	n4m_aug_multiplicative_noise_apply
augmentation.noise.spike_noise	augmentation.noise	spike_noise	n4m.augmentation.noise.spike_noise	n4m_aug_spike_noise_apply
augmentation.scattering.batch_effect	augmentation.scattering	batch_effect	n4m.augmentation.scattering.batch_effect	n4m_aug_batch_effect_apply
augmentation.scattering.dead_band	augmentation.scattering	dead_band	n4m.augmentation.scattering.dead_band	n4m_aug_dead_band_apply
augmentation.scattering.emsc_distort	augmentation.scattering	emsc_distort	n4m.augmentation.scattering.emsc_distort	n4m_aug_emsc_distort_apply
augmentation.scattering.instrument_broaden	augmentation.scattering	instrument_broaden	n4m.augmentation.scattering.instrument_broaden	n4m_aug_instrument_broaden_apply
augmentation.scattering.particle_size	augmentation.scattering	particle_size	n4m.augmentation.scattering.particle_size	n4m_aug_particle_size_apply
augmentation.scattering.scatter_sim_msc	augmentation.scattering	scatter_sim_msc	n4m.augmentation.scattering.scatter_sim_msc	n4m_aug_scatter_sim_apply
augmentation.spectral.band_mask	augmentation.spectral	band_mask	n4m.augmentation.spectral.band_mask	n4m_aug_band_mask_apply
augmentation.spectral.band_perturb	augmentation.spectral	band_perturb	n4m.augmentation.spectral.band_perturb	n4m_aug_band_perturb_apply
augmentation.spectral.channel_dropout	augmentation.spectral	channel_dropout	n4m.augmentation.spectral.channel_dropout	n4m_aug_channel_dropout_apply
augmentation.spectral.gauss_jitter	augmentation.spectral	gauss_jitter	n4m.augmentation.spectral.gauss_jitter	n4m_aug_gauss_jitter_apply
augmentation.spectral.local_clip	augmentation.spectral	local_clip	n4m.augmentation.spectral.local_clip	n4m_aug_local_clip_apply
augmentation.spectral.magnitude_warp	augmentation.spectral	magnitude_warp	n4m.augmentation.spectral.magnitude_warp	n4m_aug_magnitude_warp_apply
